id,expression,is_sharpe,is_fitness,ic_mean,turnover,min_sub_sr,pnl_kurtosis,rolling_sr_std,pnl_skew,h1_sr,h2_sr,n_gates_pass,all_pass,g_is_sharpe,g_fitness,g_ic,g_stable,g_turnover,g_sub_sr,g_kurtosis,g_roll_std,g_skew
20,"zscore_cs(true_divide(sma(log_returns, 120), df_max(sma(parkinson_volatility_20, 120), 0.001)))",3.6457133173151415,15.619017299335,-0.013154990602504012,0.11207781278418051,1.3697628071049885,14.055884563411077,0.06735985680334197,0.2692068187063941,1.3697628071049885,3.5811987468103106,8,False,True,True,True,True,True,True,True,False,True
21,"zscore_cs(sma(upper_shadow, 30))",3.117245933806614,18.13128204702832,-0.04208381776261757,0.0701446505842753,-3.067495702277839,7.447745846594169,0.053893727622649816,0.7896187202512504,-3.067495702277839,3.27178091869723,6,False,True,True,True,False,True,False,True,False,True
22,"zscore_cs(sma(ts_zscore(turnover, 240), 60))",2.780903001955119,18.214482572634466,-0.008583873713858126,0.036887921748475036,-3.3275862391978146,7.855737499903689,0.049233666897126056,0.4971810358778587,-3.3275862391978146,2.6588198291245364,6,False,False,True,True,False,True,False,True,True,True
23,Abs(momentum_20d),3.786649185189554,16.353044746063656,-0.01476755677751531,0.15161534543014354,3.889521688772206,8.177917107290785,0.03201403766771285,0.507044257822491,3.974663993995078,3.889521688772206,9,True,True,True,True,True,True,True,True,True,True
24,"ts_zscore(ts_sum(multiply(momentum_20d, returns), 180), 180)",3.834093385718782,13.675616681705728,-0.006096168038519068,0.15638554248739223,-1.999858332291129,13.864888711903863,0.04325009326328773,0.03305296966558185,-1.999858332291129,3.952254698605977,7,False,True,True,True,False,True,False,True,True,True
25,"add(ts_rank(low, 240), open_close_range)",3.364904754657608,9.907028004337752,-0.016061102430851085,0.1719975939013861,3.385280847971141,22.012049845485162,0.05736653160677195,-0.655166040269326,4.378893085901894,3.385280847971141,6,False,True,True,True,True,True,True,False,False,False
26,"df_min(ts_rank(adv20, 90), Decay_exp(square(momentum_5d), 36))",3.681588480162588,12.756103445256755,-0.013268820345985047,0.2559811809621978,3.268056200631981,9.141785167848784,0.04310764110527872,0.5070786403036249,3.268056200631981,3.7640610272770503,9,True,True,True,True,True,True,True,True,True,True
27,"ts_zscore(rank(adv20), 240)",3.007702442494598,13.560016864946537,-0.007635479299895568,0.05737838246309759,1.5767032206744396,8.412502070949994,0.043788256278615934,0.4467148980464837,1.5767032206744396,3.1782870537753816,9,True,True,True,True,True,True,True,True,True,True
28,"stddev(ts_sum(momentum_20d, 60), 6)",3.4804727462004537,17.62533987212246,-0.017322739381564825,0.0968428974646782,3.549116213094396,11.601867658247961,0.0486138064272326,0.9821294996083322,3.8089430272351867,3.549116213094396,9,True,True,True,True,True,True,True,True,True,True
29,"stddev(multiply(volume_momentum_5_20, momentum_20d), 18)",3.1153777470436026,15.712638442865194,-0.023932578732640018,0.09687826311728688,-1.168312039132336,12.398202463463655,0.045677606107142416,0.9746398700563081,-1.168312039132336,3.2284099556528956,7,False,True,True,True,False,True,False,True,True,True
30,"ts_zscore(normalize(adv20), 90)",3.0616286933114187,13.496008964440522,-0.007773298663916072,0.06856417997538518,3.0505930053396333,9.150442737731499,0.05481246215106305,0.2514205437665113,4.82354815741123,3.0505930053396333,8,False,True,True,True,True,True,True,True,False,True
31,"Decay_exp(sqrt(momentum_20d), 6)",3.287625879482465,14.27735313329859,-0.019389595186439477,0.11425866129348443,3.3489527475041796,8.036124737025826,0.04852663472037185,0.3613672583027075,8.339999374871509,3.3489527475041796,9,True,True,True,True,True,True,True,True,True,True
32,"log(ts_max(momentum_20d, 36))",3.1562599823264033,14.167372789691928,-0.01653986608048588,0.09169041548220247,3.1929239122945723,6.784358803517958,0.05255970743674888,0.19524840651340372,9.722600938383163,3.1929239122945723,8,False,True,True,True,True,True,True,True,False,True
33,"multiply(momentum_5d, add(momentum_20d, df_min(momentum_20d, momentum_5d)))",3.70851827635147,13.569809740672447,-0.00043995981229778667,0.22600743315135902,3.7853519738126855,8.286994811410935,0.03487554115726752,0.38944447251051906,5.569564637242641,3.7853519738126855,9,True,True,True,True,True,True,True,True,True,True
34,"stddev(stddev(momentum_20d, 60), 6)",3.3476841667752786,11.709206712125585,-0.01579086227721883,0.18830735977256666,-1.0292207064794077,11.278271540903614,0.04063030629463191,0.8581021875385832,-1.0292207064794077,3.4647872767548473,7,False,True,True,True,False,True,False,True,True,True
35,"Abs(multiply(subtract(Decay_exp(momentum_20d, 12), zscore_cs(high)), parkinson_volatility_10))",3.8099744272656983,21.888073159790743,-0.019113526296824647,0.0855056809330445,3.893447918617756,10.008752086956811,0.03722956135932863,0.7355447361445688,9.616026434919375,3.893447918617756,9,True,True,True,True,True,True,True,True,True,True
36,"rank(ts_zscore(square(momentum_20d), 240))",3.711269603469932,9.530334611238027,-0.00048620025178301924,0.19509023293204097,-3.2269802536000527,13.096625379497024,0.05203389834542441,-0.391391162711829,-3.2269802536000527,3.811412230673372,6,False,True,True,True,False,True,False,True,False,True
37,"rank(ts_zscore(stddev(momentum_60d, 30), 240))",2.79120634742013,8.329107106613773,-0.004195832130204635,0.10037166705417228,0.0,5.352345202229908,0.035959883632147444,0.32172699010841543,0.0,2.87020991982071,6,False,False,True,True,False,True,False,True,True,True
38,"add(ts_rank(ts_rank(s_log_1p(close), 240), 240), stddev(momentum_60d, 30))",3.69075760842602,11.63046601166453,-0.023867576781134124,0.19394213956537354,0.0,13.14665256293845,0.05044175469620727,0.14395193029930223,0.0,3.877167940904934,6,False,True,True,True,False,True,False,True,False,True
39,"add(ts_rank(ts_rank(s_log_1p(close), 240), 240), ts_max(momentum_20d, 60))",3.4784296207013385,14.567891177360865,-0.02362359223135731,0.14134713238162505,3.6271462204005824,9.81524169477175,0.05158922789731673,0.6404384945702114,4.425877597241977,3.6271462204005824,8,False,True,True,True,True,True,True,True,False,True
40,"multiply(df_min(sma(sma(close_position_in_range, 60), 60), momentum_5d), add(parkinson_volatility_10, df_min(momentum_5d, correlation(adv20, low, 48))))",3.1907484480884367,9.870501628819738,-0.0018592141343145572,0.25793454216334094,0.24021541382739317,9.304718859939324,0.041501321285371415,0.5349708935266823,0.24021541382739317,3.2512274405417925,8,False,True,True,True,True,True,False,True,True,True
41,"ts_zscore(rank(df_min(Abs(beta_to_btc), zscore_cs(adv20))), 36)",2.7960765088106907,6.628713822429733,-0.006688101464138399,0.1672901357843067,1.5566817430818112,6.439178214794079,0.04503039403723751,0.21648150094328686,1.5566817430818112,2.8918053814546796,8,False,False,True,True,True,True,True,True,True,True
42,"correlation(multiply(multiply(vwap, multiply(dollars_traded, vwap)), multiply(delay(dollars_traded, 12), vwap)), sqrt(zscore_cs(momentum_20d)), 30)",3.406795799690009,8.842585296681088,-0.0016985549131513966,0.2473450303277981,3.4125863641621486,4.350487976278732,0.045996155547740794,0.6407701589701154,7.0477857886219315,3.4125863641621486,9,True,True,True,True,True,True,True,True,True,True
43,"ts_zscore(rank(df_min(Abs(beta_to_btc), stddev(high, 24))), 180)",3.5551689871281407,9.691462873681235,-9.965486410648705e-05,0.19432627628143626,-4.014555562159559,4.700485108420719,0.049444916933124056,0.4447154196103475,-4.014555562159559,3.6170610592558763,7,False,True,True,True,False,True,False,True,True,True
44,"stddev(df_max(momentum_20d, vwap_deviation), 6)",3.415446918833441,10.978768904337171,-0.02641961460602721,0.25058578981544744,1.96168641259819,11.155015647909607,0.05132239059407198,0.7449662361473484,1.96168641259819,3.5129712706975984,8,False,True,True,True,True,True,True,True,False,True
45,"ts_zscore(rank(df_min(zscore_cs(parkinson_volatility_60), zscore_cs(adv20))), 180)",3.247336790520456,13.58722102612645,-0.006310928426525039,0.06967382553055215,1.5767032206744396,10.176339927569376,0.03725928131633883,0.4323498880587929,1.5767032206744396,3.442934596452682,9,True,True,True,True,True,True,True,True,True,True
46,"multiply(df_min(sma(rank(momentum_60d), 24), momentum_5d), correlation(ts_zscore(volume, 240), vwap, 48))",3.5665852718043736,11.568212190191483,-0.005247494832710964,0.25070446745041064,3.5294844504999214,6.859646375385416,0.05269403520078365,0.5614638495791031,8.30000435993225,3.5294844504999214,8,False,True,True,True,True,True,True,True,False,True
47,"stddev(df_max(add(delay(momentum_5d, 36), momentum_5d), vwap_deviation), 6)",3.648931337665973,11.605883041826942,-0.026415339505971268,0.27342660975014027,0.12205815540767655,10.815335486536373,0.04573609603424989,0.8502306765863075,0.12205815540767655,3.7661307202869385,8,False,True,True,True,True,True,False,True,True,True
48,"correlation(multiply(multiply(high, multiply(dollars_traded, high)), ts_min(volume, 60)), sqrt(zscore_cs(momentum_20d)), 30)",3.853184449666719,11.269510109379317,-0.0011906114697051813,0.23203720078039874,3.8873433310120986,6.77309494899077,0.03737241343622777,0.7006361902957823,5.429976607830625,3.8873433310120986,9,True,True,True,True,True,True,True,True,True,True
49,"stddev(df_max(add(vwap_deviation, vwap_deviation), df_max(add(momentum_20d, momentum_5d), momentum_60d)), 6)",3.5817627493059914,11.86379186032159,-0.02886993323855975,0.22717869567914262,0.0,10.632752589090725,0.050218733253215395,0.688445185642792,0.0,3.6833851889362244,6,False,True,True,True,False,True,False,True,False,True
50,"stddev(df_max(add(vwap_deviation, sqrt(momentum_60d)), df_max(add(momentum_20d, momentum_5d), vwap_deviation)), 6)",4.188196054148263,14.605655505329048,-0.021696829037762905,0.2626153245155189,1.674039232483887,11.708142254797082,0.04339637713719671,0.9825755600003314,1.674039232483887,4.316243705236906,9,True,True,True,True,True,True,True,True,True,True
51,"multiply(df_min(sma(multiply(momentum_20d, beta_to_btc), 18), momentum_5d), add(parkinson_volatility_10, df_min(square(open_close_range), df_min(open_close_range, momentum_5d))))",3.6189813827561927,12.071694416635987,0.001260526319682277,0.26313455699863875,3.0011331833372505,11.208670236584524,0.046519607929941385,0.4726268781993104,3.0011331833372505,3.672553614290546,9,True,True,True,True,True,True,True,True,True,True
52,"correlation(multiply(multiply(high, multiply(dollars_traded, high)), multiply(delay(dollars_traded, 180), high)), sqrt(zscore_cs(momentum_20d)), 30)",3.095106385347006,7.910904424539783,-0.0015508939646639648,0.24292456838222357,0.0,6.62610471396333,0.04387309048013404,0.8323118202513642,0.0,3.262501431349487,7,False,True,True,True,False,True,False,True,True,True
53,"multiply(df_min(momentum_20d, momentum_5d), add(parkinson_volatility_10, df_min(square(momentum_60d), df_min(momentum_20d, momentum_5d))))",4.311006867275024,17.36637295126231,-0.007631404894800247,0.20565729382454795,3.449574103063436,10.332778128790828,0.03705361173935564,0.536682660089748,3.449574103063436,4.371374368671868,9,True,True,True,True,True,True,True,True,True,True
54,"multiply(df_min(sma(rank(momentum_20d), 18), df_min(momentum_20d, momentum_5d)), ts_zscore(ts_sum(low, 3), 36))",4.464361664277269,15.977715654955306,0.0002305425129486825,0.2620650812971559,2.3783856926131257,11.551622759129284,0.04375175777131114,0.6048016652480949,2.3783856926131257,4.535057159661553,9,True,True,True,True,True,True,True,True,True,True
55,"multiply(df_min(sma(rank(momentum_20d), 18), df_min(momentum_20d, momentum_5d)), add(correlation(open_close_range, momentum_5d, 240), df_min(square(momentum_60d), df_min(open_close_range, momentum_5d))))",3.605890176715817,12.776348428943157,-0.0026616108361621933,0.21733108920995337,2.545273470740236,10.413201159818385,0.03579592721106393,0.5014601173819526,2.545273470740236,3.5507785645812633,9,True,True,True,True,True,True,True,True,True,True
56,"multiply(df_min(sma(rank(momentum_20d), 18), df_min(momentum_20d, rank(momentum_20d))), add(rank(momentum_5d), df_min(square(momentum_60d), df_min(open_close_range, momentum_5d))))",3.5233149824288477,12.344779183940108,-0.007909803483794596,0.20266432832536962,3.5859617559654655,6.8225813699261595,0.04729440357854162,0.4467407559126653,6.40041461504146,3.5859617559654655,9,True,True,True,True,True,True,True,True,True,True
57,"Abs(multiply(subtract(subtract(momentum_20d, returns), Decay_exp(open_close_range, 60)), normalize(correlation(vwap, upper_shadow, 60))))",3.845085448225692,12.252391836130549,-0.007736784888647876,0.25985962976479043,3.9030793657304574,8.462786071744123,0.04192983118174833,0.799766864572987,7.973012330343525,3.9030793657304574,9,True,True,True,True,True,True,True,True,True,True
58,"stddev(df_max(log(ts_rank(returns, 3)), df_max(add(momentum_20d, momentum_5d), add(vwap_deviation, momentum_20d))), 6)",4.226562907557563,14.242499517431128,-0.018097834044137586,0.2774880000556098,-6.045570221691008,12.732412420127584,0.03743764764061599,0.8320529796688089,-6.045570221691008,4.370676109807619,7,False,True,True,True,False,True,False,True,True,True
59,"stddev(df_max(add(add(momentum_20d, momentum_5d), add(vwap_deviation, vwap_deviation)), df_max(add(momentum_20d, momentum_5d), Decay_lin(momentum_20d, 120))), 6)",3.9132296187529865,13.861110220614043,-0.021511906937454812,0.2272029989774124,0.0,10.324738057473024,0.046239505668982675,0.7599060295658262,0.0,4.1228732761292335,7,False,True,True,True,False,True,False,True,True,True
60,"stddev(df_max(rank(adv60), df_max(add(momentum_20d, momentum_5d), add(momentum_20d, vwap_deviation))), 6)",3.847396331613218,15.854068338305755,-0.012276021359387063,0.17474680786784405,1.1806313567731692,9.969136150929472,0.048627217962131056,0.8123008827073037,1.1806313567731692,3.962915253636067,9,True,True,True,True,True,True,True,True,True,True
